ft	Name	Install Time	Update Time	Install Originator	Installer	Code Path	Public Flags	Private Flags
2020-08-05 01:12:53	com.android.bips	2020-08-05 01:12:53	2020-08-05 01:12:53			/system/app/BuiltInPrintService	0x3048be45	0x0
2020-08-05 01:10:42	com.android.musicfx	2020-08-05 01:10:42	2020-08-05 01:10:42			/system/priv-app/MusicFX	0x30083e45	0x8
2020-08-05 00:52:54	com.google.android.apps.docs	2020-08-05 00:52:54	2020-08-05 00:52:54			/system/app/Drive	0x384bbe45	0x0
2020-08-05 00:52:56	com.google.android.apps.maps	2020-08-05 00:52:56	2020-08-05 00:52:56			/system/app/Maps	0x385bbe45	0x0
2020-08-05 00:52:52	com.android.internal.display.cutout.emulation.emu01	2020-08-05 00:52:52	2020-08-05 00:52:52			/vendor/overlay/DisplayCutoutEmulationEmu01	0x3008be41	0x40000
2020-08-05 01:12:59	com.android.cellbroadcastreceiver	2020-08-05 01:12:59	2020-08-05 01:12:59			/system/priv-app/CellBroadcastReceiver	0x3049be45	0x8
2020-08-05 01:16:51	com.google.android.webview	2020-08-05 01:16:51	2020-08-05 01:16:51			/system/app/WebViewStub	0xb008be45	0x0
2020-08-05 01:13:04	com.android.server.telecom	2020-08-05 01:13:04	2020-08-05 01:13:04			/system/priv-app/Telecom	0x30483e45	0x8
2020-08-05 01:13:26	com.google.android.syncadapters.contacts	2020-08-05 01:13:26	2020-08-05 01:13:26			/system/app/GoogleContactsSyncAdapter	0x38083e45	0x0
2020-08-05 01:10:07	com.android.keychain	2020-08-05 01:10:07	2020-08-05 01:10:07			/system/app/KeyChain	0x30083e45	0x0
2020-08-05 01:16:51	com.android.chrome	2020-08-05 01:16:51	2020-08-05 01:16:51			/system/app/Chrome	0xa04bbe45	0x0
2020-08-05 01:13:38	com.google.android.packageinstaller	2020-08-05 01:13:38	2020-08-05 01:13:38			/system/priv-app/GooglePackageInstaller	0x30483e45	0x8
2020-08-05 01:14:08	com.google.android.gms	2020-08-05 01:14:08	2020-08-05 01:14:08			/system/priv-app/PrebuiltGmsCore	0xb0483e45	0x8
2020-08-05 01:13:29	com.google.android.gsf	2020-08-05 01:13:29	2020-08-05 01:13:29			/system/priv-app/GoogleServicesFramework	0x18083e45	0x8
2020-08-05 00:52:52	com.google.android.ims	2020-08-05 00:52:52	2020-08-05 00:52:52			/system/priv-app/CarrierServices	0x28083e45	0x8
2020-08-05 00:52:54	com.google.android.tts	2020-08-05 00:52:54	2020-08-05 00:52:54			/system/app/GoogleTTS	0x30483e45	0x0
2020-08-05 01:10:59	com.ustwo.lwp	2020-08-05 01:10:59	2020-08-05 01:10:59			/system/app/WallpapersUsTwo	0x38083e45	0x0
2020-08-05 01:10:22	com.android.calllogbackup	2020-08-05 01:10:22	2020-08-05 01:10:22			/system/priv-app/CallLogBackup	0x3009be45	0x8
2020-08-05 01:12:39	com.google.android.partnersetup	2020-08-05 01:12:39	2020-08-05 01:12:39			/system/priv-app/GooglePartnerSetup	0x30083e45	0x8
2020-08-05 00:52:52	com.google.android.apps.wallpaper.nexus	2020-08-05 00:52:52	2020-08-05 00:52:52			/system/app/NexusWallpapersStubPrebuilt	0x3808be41	0x0
2020-08-05 00:52:53	com.google.android.videos	2020-08-05 00:52:53	2020-08-05 00:52:53			/system/app/Videos	0x385bbe45	0x0
2020-08-05 00:52:52	com.google.android.apps.nexuslauncher	2020-08-05 00:52:52	2020-08-05 00:52:52			/system/priv-app/NexusLauncherPrebuilt	0x344bbe45	0x8
2020-08-05 01:11:13	com.android.carrierdefaultapp	2020-08-05 01:11:13	2020-08-05 01:11:13			/system/app/CarrierDefaultApp	0x3808be45	0x0
2020-08-05 01:10:27	com.android.proxyhandler	2020-08-05 01:10:27	2020-08-05 01:10:27			/system/priv-app/ProxyHandler	0x3008be45	0x8
2020-08-05 01:13:35	com.breel.geswallpapers	2020-08-05 01:13:35	2020-08-05 01:13:35			/system/app/WallpapersBReel	0x30483e45	0x0
2020-08-05 01:12:54	org.chromium.webview_shell	2020-08-05 01:12:54	2020-08-05 01:12:54			/system/app/Browser2	0x3808be45	0x0
2020-08-05 01:10:38	com.google.android.feedback	2020-08-05 01:10:38	2020-08-05 01:10:38			/system/priv-app/GoogleFeedback	0x3808be45	0x8
2020-08-05 01:12:42	com.google.android.printservice.recommendation	2020-08-05 01:12:42	2020-08-05 01:12:42			/system/app/GooglePrintRecommendationService	0x30083e05	0x0
2020-08-05 00:52:57	com.google.android.apps.photos	2020-08-05 00:52:57	2020-08-05 00:52:57			/system/app/Photos	0x3859be45	0x0
2020-08-05 00:52:53	com.google.android.calendar	2020-08-05 00:52:53	2020-08-05 00:52:53			/system/app/CalendarGooglePrebuilt	0x384bbe45	0x0
2020-08-05 01:13:29	com.android.managedprovisioning	2020-08-05 01:13:29	2020-08-05 01:13:29			/system/priv-app/ManagedProvisioning	0x3848be05	0x8
2020-08-05 01:12:37	com.android.providers.partnerbookmarks	2020-08-05 01:12:37	2020-08-05 01:12:37			/system/app/PartnerBookmarksProvider	0x3008be45	0x0
2020-08-05 01:11:57	com.android.smspush	2020-08-05 01:11:57	2020-08-05 01:11:57			/system/app/WAPPushManager	0x3008be45	0x0
